File,X,Y,Z
F01A0V1,-0.204,1.021,-0.125
F01A0V2,-0.352,1.026,0.063
F01A1V1,-0.24,1.027,0.962
F01A1V2,0.056,1.017,0.32
F01A1V3,-0.183,1.027,0.815
F01A2V1,-0.134,1.024,0.824
F01A3V1,-0.461,1.019,0.53
F01A4V1,-0.599,1.022,0.372
F01A5V1,-0.676,1.019,0.245
F01D0V1,-0.365,1.024,0.239
F01D0V2,-0.396,1.019,0.16
F01D1V1,-0.006,1.03,0.236
F01D2V1,-0.146,1.03,-0.003
F01D3V1,-0.176,1.029,0.08
F01D4V1,-0.244,1.026,0.164
F01D5V1,-0.397,1.021,0.235
F01D5V2,-0.505,1.028,0.242
F01F0V1,-0.213,1.025,0.303
F01F1V1,-0.171,1.025,0.795
F01F2V1,-0.407,1.023,1.018
F01F2V2,0.067,1.013,0.248
F01F3V1,0.205,1.023,0.862
F01F4V1,-0.186,1.002,1.031
F01F4V2,-0.193,1.019,1.556
F01F5V1,-0.243,1.002,2.505
F01H0V1,-0.136,1.031,-0.033
F01H0V2,-0.425,1.031,-0.053
F01H0V3,-0.49,1.026,-0.137
F01H1V1,-0.458,1.029,0.04
F01H2V1,-0.777,1.027,0.253
F01H3V1,-0.75,1.026,0.224
F01H3V2,0.113,1.014,0.006
F01H4V1,0.02,1.021,0.197
F01H5V1,-0.161,1.027,0.65
F01N1V1,-0.646,1.03,0.133
F01N1V2,-0.732,1.03,0.163
F01N2V1,-0.722,1.029,0.175
F01N3V1,-0.713,1.028,0.114
F01N4V1,-0.782,1.029,0.247
F01N5V1,-0.809,1.031,0.166
F01SA0V1,-0.5,1.04,-0.178
F01SA0V2,-0.018,1.028,0.142
F01SA1V1,0.022,1.029,-0.072
F01SA1V2,0.054,1.024,-0.183
F01SA1V3,0.099,1.028,-0.274
F01SA2V1,0.194,1.044,-0.274
F01SA3V1,0.333,1.039,-0.26
F01SA3V2,0.386,1.025,-0.057
F01SA4V1,0.508,1.022,-0.215
F01SA5V1,-0.16,1.027,0.489
F01SU0V1,0.01,1.028,-0.133
F01SU1V1,-0.512,1.028,0.291
F01SU2V1,-0.507,1.029,0.269
F01SU3V1,-0.713,1.041,0.388
F01SU4V1,-0.695,1.027,0.331
F01SU5V1,-0.63,1.025,0.25
F02A0V1,0.023,1.024,-0.849
F02A0V2,0.088,1.021,-0.933
F02A1V1,-0.59,1.025,0.136
F02A2V1,-0.64,1.023,0.112
F02A2V2,-0.348,1.017,-0.192
F02A3V1,-0.107,1.02,-0.189
F02A4V1,-0.038,1.017,-0.294
F02A5V1,-0.091,1.019,-0.444
F02D0V1,0.14,1.025,-0.045
F02D0V2,-0.001,1.021,0.312
F02D0V4,0.1,1.027,-0.108
F02D1V1,-0.035,1.024,-0.614
F02D1V2,0.012,1.022,-0.696
F02D2V1,-0.052,1.027,-0.023
F02D3V1,-0.146,1.026,-0.245
F02D4V1,-0.177,1.026,-0.308
F02D4V2,-0.087,1.028,-0.045
F02D5V1,-0.135,1.028,-0.049
F02F0V1,0.205,1.025,-1.077
F02F1V1,0.12,1.024,-0.153
F02F1V2,0.11,1.023,-0.331
F02F2V1,-0.156,1.025,-0.012
F02F3V1,-0.216,1.026,-0.033
F02F3V2,-0.126,1.025,-0.103
F02F4V1,0.033,1.024,-0.213
F02F5V1,0.067,1.027,-0.332
F02H0V1,0.326,1.026,0.248
F02H0V2,0.201,1.008,-0.099
F02H0V3,-0.008,1.03,0.065
F02H0V4,-0.033,1.025,0.188
F02H1V1,0.11,1.027,-0.353
F02H1V2,0.132,1.028,-0.612
F02H2V1,0.068,1.024,-0.48
F02H2V2,0.155,1.026,-0.666
F02H2V3,0.236,1.026,-0.934
F02H3V1,0.286,1.013,-0.965
F02H4V1,0.426,1.023,-1.103
F02H5V1,0.305,1.022,-1.143
F02H5V2,-0.484,1.021,0.118
F02N1V1,0.215,1.027,-0.269
F02N2V1,0.275,1.026,-0.428
F02N3V1,0.314,1.024,-0.516
F02N4V1,0.366,1.026,-0.65
F02N4V2,0.009,1.025,0.024
F02N5V1,0.058,1.027,-0.025
F02SA0V1,0.147,1.024,-1.028
F02SA1V1,-0.196,1.024,-0.082
F02SA1V2,-0.254,1.026,-0.125
F02SA2V1,-0.268,1.029,-0.293
F02SA3V1,-0.258,1.028,-0.22
F02SA4V1,-0.299,1.026,-0.414
F02SA5V1,-0.358,1.015,-0.26
F02SU0V1,0.145,1.026,-0.218
F02SU1V1,-0.264,1.028,-0.597
F02SU2V1,-0.271,1.021,0.126
F02SU2V2,-0.574,1.027,-0.045
F02SU3V1,-0.387,1.021,-0.216
F02SU4V1,-0.382,1.025,-0.371
F02SU5V1,-0.114,1.024,0.064
F03A0V1,-1.009,1.023,-0.11
F03A1V1,-0.877,1.024,-0.575
F03A1V2,-0.036,1.027,0.081
F03A2V1,-0.127,1.021,0.092
F03A3V1,-0.18,1.024,0.056
F03A4V1,-0.115,1.024,-0.05
F03A5V1,-0.205,1.024,0.03
F03A5V2,-0.282,1.025,-0.037
F03D0V1,-1.226,1.024,-0.582
F03D1V1,-0.754,1.026,-0.266
F03D2V1,-0.855,1.018,-0.162
F03D3V1,-0.96,1.023,-0.234
F03D4V1,-0.937,1.025,-0.295
F03D5V1,-0.973,1.023,-0.365
F03F0V1,-0.067,1.027,0.076
F03F0V2,-0.126,1.024,0.038
F03F1V1,-0.299,1.022,-0.368
F03F1V2,-0.328,1.02,-0.423
F03F2V1,-0.397,1.02,-0.544
F03F3V1,-0.509,1.021,-0.595
F03F4V1,-0.662,1.024,-0.541
F03F5V1,-0.744,1.024,-0.493
F03H0V1,-0.512,1.016,-0.067
F03H0V2,-0.832,1.022,-0.09
F03H1V1,-0.425,1.026,-0.094
F03H2V1,-0.495,1.023,-0.119
F03H3V1,-0.424,1.025,-0.172
F03H3V2,-0.602,1.012,-0.267
F03H4V1,-0.648,1.023,-0.269
F03H5V1,-0.698,1.013,-0.178
F03N1V1,-0.01,1.023,-0.019
F03N2V1,-0.028,1.026,-0.074
F03N3V1,-0.053,1.027,-0.233
F03N3V2,-0.085,1.027,-0.29
F03N4V1,-0.109,1.025,-0.357
F03N4V2,-0.172,1.022,-0.339
F03N5V1,-0.221,1.026,-0.341
F03SA0V1,-0.944,1.025,-0.012
F03SA1V1,-1.278,1.02,-0.624
F03SA2V1,-1.303,1.02,-0.798
F03SA3V1,-1.372,1.017,-0.688
F03SA4V1,-1.423,1.017,-0.733
F03SA5V1,-1.52,1.02,-0.845
F03SU0V1,-0.157,1.029,-0.049
F03SU0V2,-0.247,1.027,-0.084
F03SU1V1,-0.974,1.024,-0.358
F03SU2V1,-0.957,1.021,-0.457
F03SU3V1,-0.999,1.018,-0.48
F03SU3V2,-1.056,1.019,-0.502
F03SU4V1,-1.156,1.019,-0.56
F03SU5V1,-1.219,1.022,-0.578
F05A0V1,-0.739,1.016,-0.307
F05A1V1,1.589,1.023,-1.647
F05A2V1,1.504,1.029,-1.563
F05A3V1,1.36,1.02,-1.448
F05A4V1,1.212,1.026,-1.332
F05A5V1,-0.289,1.022,-0.201
F05D0V1,-0.022,1.016,-0.109
F05D1V1,-1.471,1.013,-1.175
F05D1V2,-1.617,1.016,-1.051
F05D1V3,-1.923,1.016,-1.252
F05D2V1,-1.916,1.018,-1.377
F05D3V1,-1.898,1.019,-1.323
F05D3V2,-2.05,1.022,-1.248
F05D4V1,1.924,1.028,-1.934
F05D4V2,1.794,1.027,-1.819
F05D5V1,1.696,1.027,-1.741
F05F0V1,-0.031,1.021,-0.056
F05F0V2,-0.057,1.021,-0.103
F05F0V3,-0.106,1.021,-0.088
F05F0V4,-0.157,1.021,-0.162
F05F0V5,-0.176,1.022,-0.376
F05F1V1,-0.848,1.021,-0.294
F05F1V2,-1.045,1.026,-0.343
F05F2V1,-1.054,1.022,-0.278
F05F2V2,-1.142,1.018,-0.254
F05F3V1,-1.273,1.023,-0.53
F05F3V2,-1.376,1.023,-0.488
